"Wavelength (nm)","Spectral Radiance (uW/cm2-sr-nm)","Expanded Spectral Radiance Uncertainty k=2 (uW/cm2-sr-nm)","Expanded Spectral Radiance Uncertainty k=2 %","Spectral Radiance (W/m2-sr-nm)","Expanded Spectral Radiance Uncertainty k=2 (W/m2-sr-nm)"
350,1.129915569494,0.02200648523399,1.94762209036955,0.01129915569494,0.0002200648523399
351,1.165504581669,0.02322802635364,1.99295881963651,0.01165504581669,0.0002322802635364
352,1.202711428202,0.02453908038795,2.04031322996862,0.01202711428202,0.0002453908038795
353,1.241896533869,0.02510805253927,2.02175075415087,0.01241896533869,0.0002510805253927
354,1.283966962779,0.02447617814094,1.90629345228355,0.01283966962779,0.0002447617814094
355,1.327739359444,0.02433908133475,1.83312192725402,0.01327739359444,0.0002433908133475
356,1.373268907571,0.02514867329904,1.83129998504971,0.01373268907571,0.0002514867329904
357,1.421098715374,0.02658627489752,1.870825341681,0.01421098715374,0.0002658627489752
358,1.469171097717,0.02830783298534,1.92678940045367,0.01469171097717,0.0002830783298534
359,1.516764403396,0.02880063896665,1.89882086513674,0.01516764403396,0.0002880063896665
360,1.563311726099,0.02847054787127,1.82116895792203,0.01563311726099,0.0002847054787127
361,1.609920322806,0.02753046287327,1.71005126671648,0.01609920322806,0.0002753046287327
362,1.656782186117,0.0271104408619,1.63633102100396,0.01656782186117,0.000271104408619
363,1.705550351695,0.02815808549769,1.65096770492329,0.01705550351695,0.0002815808549769
364,1.754842091959,0.02971080158228,1.69307550339829,0.01754842091959,0.0002971080158228
365,1.803251793766,0.03198677987318,1.77383879410303,0.01803251793766,0.0003198677987318
366,1.852544251032,0.03301720637062,1.78226276388416,0.01852544251032,0.0003301720637062
367,1.902831968913,0.03371293775546,1.77172437221131,0.01902831968913,0.0003371293775546
368,1.953438419617,0.03299270556964,1.68895549705164,0.01953438419617,0.0003299270556964
369,2.008190527166,0.03354376462052,1.67034771685024,0.02008190527166,0.0003354376462052
370,2.06762383802,0.03487841116902,1.68688378067939,0.0206762383802,0.0003487841116902
371,2.131233579365,0.03684729260256,1.72891854554669,0.02131233579365,0.0003684729260256
372,2.197995740302,0.03892735554941,1.77103871657465,0.02197995740302,0.0003892735554941
373,2.26631438169,0.03975767550142,1.75428774677644,0.0226631438169,0.0003975767550142
374,2.332734882672,0.03810144939318,1.6333381764128,0.02332734882672,0.0003810144939318
375,2.396731571997,0.03913259165209,1.63274820214781,0.02396731571997,0.0003913259165209
376,2.458051565662,0.04150642802096,1.68859061383367,0.02458051565662,0.0004150642802096
377,2.520451863784,0.04157197767397,1.64938590065185,0.02520451863784,0.0004157197767397
378,2.58720414434,0.04225876114112,1.633375597112,0.0258720414434,0.0004225876114112
379,2.659867771929,0.04455275944389,1.67499903243609,0.02659867771929,0.0004455275944389
380,2.736576350646,0.04623968468056,1.68969101372394,0.02736576350646,0.0004623968468056
381,2.815491204143,0.0488142201359,1.73377278053896,0.02815491204143,0.000488142201359
382,2.894389080591,0.05032245674235,1.73862101262746,0.02894389080591,0.0005032245674235
383,2.98541481445,0.04813356314304,1.61229062407221,0.0298541481445,0.0004813356314304
384,3.081742605783,0.05013133991,1.62672053843584,0.03081742605783,0.0005013133991
385,3.174451686916,0.05215298126281,1.64289730657319,0.03174451686916,0.0005215298126281
386,3.267588221034,0.05339352515211,1.63403469287859,0.03267588221034,0.0005339352515211
387,3.360772900992,0.05305237398223,1.57857658179077,0.03360772900992,0.0005305237398223
388,3.452292240145,0.05322022978577,1.54159109610995,0.03452292240145,0.0005322022978577
389,3.548448085211,0.05407617244102,1.52393866677648,0.03548448085211,0.0005407617244102
390,3.647204801915,0.05684392425082,1.55856134596482,0.03647204801915,0.0005684392425082
391,3.741401915159,0.05766532645923,1.54127591119222,0.03741401915159,0.0005766532645923
392,3.83993960757,0.05819881687681,1.51561802592097,0.0383993960757,0.0005819881687681
393,3.942871305853,0.0616791739337,1.56432125598774,0.03942871305853,0.000616791739337
394,4.045137372008,0.06284542502083,1.55360422258376,0.04045137372008,0.0006284542502083
395,4.149237699259,0.06323404662947,1.52399190436264,0.04149237699259,0.0006323404662947
396,4.255976031315,0.06431940777722,1.51127279157507,0.04255976031315,0.0006431940777722
397,4.368555045345,0.06546684084876,1.49859255907785,0.04368555045345,0.0006546684084876
398,4.482541956937,0.06804214740478,1.51793665421203,0.04482541956937,0.0006804214740478
399,4.596560493202,0.07022148490417,1.52769630701092,0.04596560493202,0.0007022148490417
400,4.712349790257,0.07200097812238,1.52792091689045,0.04712349790257,0.0007200097812238
401,4.836568203424,0.07582190050503,1.5676797538253,0.04836568203424,0.0007582190050503
402,4.973019135539,0.07554839113518,1.51916550240645,0.04973019135539,0.0007554839113518
403,5.102467899165,0.076060409883,1.49065925324973,0.05102467899165,0.00076060409883
404,5.231550767672,0.07838055532,1.49822794044831,0.05231550767672,0.0007838055532
405,5.365122385926,0.07995208593578,1.49021923797141,0.05365122385926,0.0007995208593578
406,5.520113455219,0.08214041193708,1.48802035688995,0.05520113455219,0.0008214041193708
407,5.689094200361,0.08682696952066,1.5262002431802,0.05689094200361,0.0008682696952066
408,5.867203397148,0.08451768620544,1.44051058885266,0.05867203397148,0.0008451768620544
409,6.04765248275,0.08580559037341,1.41882475254915,0.0604765248275,0.0008580559037341
410,6.227933958225,0.08862480945191,1.4230210218409,0.06227933958225,0.0008862480945191
411,6.405069031029,0.09041257502713,1.4115784637001,0.06405069031029,0.0009041257502713
412,6.5773343327,0.09364040758028,1.42368325591624,0.065773343327,0.0009364040758028
413,6.745604657011,0.09539203429071,1.41413615444488,0.06745604657011,0.0009539203429071
414,6.911853176041,0.09705630339243,1.40420088390857,0.06911853176041,0.0009705630339243
415,7.082187739077,0.09962325580443,1.40667346693938,0.07082187739077,0.0009962325580443
416,7.254834539489,0.1000314851565,1.37882517667379,0.07254834539489,0.001000314851565
417,7.424774319052,0.1033207701555,1.39156782032255,0.07424774319052,0.001033207701555
418,7.592532081901,0.105673790617,1.39181223703887,0.07592532081901,0.00105673790617
419,7.760671527573,0.1065027626768,1.37233952369205,0.07760671527573,0.001065027626768
420,7.937749393826,0.109463452973,1.37902379556277,0.07937749393826,0.00109463452973
421,8.111477710621,0.1117452185887,1.37761851262173,0.08111477710621,0.001117452185887
422,8.28055244068,0.1142355942028,1.37956489040022,0.0828055244068,0.001142355942028
423,8.451410455838,0.1153327970012,1.3646573859341,0.08451410455838,0.001153327970012
424,8.624045363627,0.1174953186706,1.36241535980494,0.08624045363627,0.001174953186706
425,8.79782649626,0.1198599278205,1.36238112755978,0.0879782649626,0.001198599278205
426,8.970489419424,0.1216866790672,1.35652218488446,0.08970489419424,0.001216866790672
427,9.138223558437,0.1234745524784,1.35118769735503,0.09138223558437,0.001234745524784
428,9.300104218592,0.1255362660742,1.34983719669763,0.09300104218592,0.001255362660742
429,9.464891210516,0.127142203879,1.34330338353745,0.09464891210516,0.00127142203879
430,9.629577871332,0.1295770126678,1.34561467178702,0.09629577871332,0.001295770126678
431,9.791533781531,0.1317573277986,1.34562501379634,0.09791533781531,0.001317573277986
432,9.934765778132,0.1328319685093,1.33704177306006,0.09934765778132,0.001328319685093
433,10.0731563563,0.1347344360038,1.33755926383029,0.100731563563,0.001347344360038
434,10.2133054159,0.1369009077389,1.3404172514588,0.102133054159,0.001369009077389
435,10.36276152559,0.1374830011115,1.32670235411668,0.1036276152559,0.001374830011115
436,10.52264061334,0.1577733238473,1.49937006921327,0.1052264061334,0.001577733238473
437,10.69483742559,0.159469335769,1.49108704904135,0.1069483742559,0.00159469335769
438,10.86789107762,0.1605851123763,1.47761061671836,0.1086789107762,0.001605851123763
439,11.03827905785,0.1623792884224,1.4710561997155,0.1103827905785,0.001623792884224
440,11.20278781419,0.1639123174598,1.46313864172435,0.1120278781419,0.001639123174598
441,11.36346549631,0.1656881484368,1.45807763037256,0.1136346549631,0.001656881484368
442,11.52636563644,0.1683202784833,1.46030660307326,0.1152636563644,0.001683202784833
443,11.69600046417,0.1692321799372,1.44692350565163,0.1169600046417,0.001692321799372
444,11.85993610841,0.1700213717649,1.43357746796238,0.1185993610841,0.001700213717649
445,12.02555852345,0.1730353254336,1.4388963730556,0.1202555852345,0.001730353254336
446,12.1983947904,0.1757947874481,1.44113049682937,0.121983947904,0.001757947874481
447,12.37163813935,0.1774863182353,1.43462261210806,0.1237163813935,0.001774863182353
448,12.54561872351,0.1784140800092,1.42212260663445,0.1254561872351,0.001784140800092
449,12.72011925784,0.1806245098407,1.41999069489362,0.1272011925784,0.001806245098407
450,12.89679058954,0.1836526051242,1.42401788917277,0.1289679058954,0.001836526051242
451,13.07375440056,0.184400893836,1.41046625312237,0.1307375440056,0.00184400893836
452,13.2473000889,0.1856457780204,1.40138576747389,0.132473000889,0.001856457780204
453,13.42471314454,0.1884524227008,1.40377243574434,0.1342471314454,0.001884524227008
454,13.60307959156,0.1909411895921,1.40366148934811,0.1360307959156,0.001909411895921
455,13.77875369626,0.1920644505511,1.3939174382893,0.1377875369626,0.001920644505511
456,13.95237631812,0.1926609023939,1.38084651675923,0.1395237631812,0.001926609023939
457,14.12408596335,0.1953716092595,1.38325134643376,0.1412408596335,0.001953716092595
458,14.2945190852,0.1974309904661,1.38116567118731,0.142945190852,0.001974309904661
459,14.46411120549,0.1982308202683,1.37050121816721,0.1446411120549,0.001982308202683
460,14.63277858855,0.2000734636916,1.3672964603466,0.1463277858855,0.002000734636916
461,14.79994672512,0.2023628880028,1.36732173271495,0.1479994672512,0.002023628880028
462,14.9703913261,0.2039694286604,1.36248561722492,0.149703913261,0.002039694286604
463,15.14435025046,0.2074908221747,1.37008731799766,0.1514435025046,0.002074908221747
464,15.32153537558,0.2106184320815,1.37465617458412,0.1532153537558,0.002106184320815
465,15.5079994205,0.2126502847134,1.37122964057052,0.155079994205,0.002126502847134
466,15.70253715146,0.2147311805558,1.36749353613747,0.1570253715146,0.002147311805558
467,15.90261250848,0.2169558513696,1.36427804710647,0.1590261250848,0.002169558513696
468,16.09934429754,0.219141035606,1.36117988134141,0.1609934429754,0.00219141035606
469,16.29373450811,0.22160108987,1.36003866860419,0.1629373450811,0.0022160108987
470,16.49185928832,0.2232455639516,1.35367128744367,0.1649185928832,0.002232455639516
471,16.68744339633,0.2247365807594,1.3467406325934,0.1668744339633,0.002247365807594
472,16.88063115071,0.2270742757107,1.34517645509451,0.1688063115071,0.002270742757107
473,17.07218730049,0.2297048578506,1.34549166903767,0.1707218730049,0.002297048578506
474,17.26619053958,0.2319501962236,1.34337794831982,0.1726619053958,0.002319501962236
475,17.46217275628,0.2343703657757,1.34216038889784,0.1746217275628,0.002343703657757
476,17.65538263097,0.2363649059492,1.33876965959709,0.1765538263097,0.002363649059492
477,17.85654289518,0.2387190960712,1.33687185404537,0.1785654289518,0.002387190960712
478,18.06188285194,0.2413745658155,1.33637543657069,0.1806188285194,0.002413745658155
479,18.26189223897,0.2430865940135,1.33111394390317,0.1826189223897,0.002430865940135
480,18.45847125801,0.2446651810157,1.32548994765495,0.1845847125801,0.002446651810157
481,18.65268080472,0.2467519985653,1.32287686230528,0.1865268080472,0.002467519985653
482,18.84836654897,0.2491627508086,1.32193285906898,0.1884836654897,0.002491627508086
483,19.04428880793,0.2518154736696,1.32226241793154,0.1904428880793,0.002518154736696
484,19.24142254257,0.2540360324098,1.32025598340126,0.1924142254257,0.002540360324098
485,19.44262882278,0.2554175394833,1.31369858372258,0.1944262882278,0.002554175394833
486,19.63618508392,0.256889065592,1.30824324834036,0.1963618508392,0.00256889065592
487,19.82833627882,0.2607189121598,1.3148804241246,0.1982833627882,0.002607189121598
488,20.03235102448,0.26367611625,1.31625147706219,0.2003235102448,0.0026367611625
489,20.23576464079,0.264804630551,1.30859710641832,0.2023576464079,0.00264804630551
490,20.43954021909,0.2666496629972,1.30457759880604,0.2043954021909,0.002666496629972
491,20.64572046227,0.2692940649803,1.30435779885926,0.2064572046227,0.002692940649803
492,20.84931399387,0.2718494519466,1.30387720203421,0.2084931399387,0.002718494519466
493,21.05159496424,0.2736616218582,1.2999567126532,0.2105159496424,0.002736616218582
494,21.25377353719,0.2757272400983,1.29730957947694,0.2125377353719,0.002757272400983
495,21.46013554064,0.2783494304213,1.29705345939767,0.2146013554064,0.002783494304213
496,21.66827444532,0.2805091492201,1.29456154862708,0.2166827444532,0.002805091492201
497,21.87521043837,0.2823670015447,1.29080816086421,0.2187521043837,0.002823670015447
498,22.08108354679,0.2844422003686,1.28817138781195,0.2208108354679,0.002844422003686
499,22.28768212817,0.2875222403507,1.290049986792,0.2228768212817,0.002875222403507
500,22.49727059841,0.2900887428215,1.28943971915421,0.2249727059841,0.002900887428215
501,22.71108718982,0.2917599641677,1.28465872958507,0.2271108718982,0.002917599641677
502,22.92682077182,0.293896863489,1.28189104984951,0.2292682077182,0.00293896863489
503,23.14153230372,0.2963406804703,1.28055772876657,0.2314153230372,0.002963406804703
504,23.35515711352,0.2987277223907,1.27906535134277,0.2335515711352,0.002987277223907
505,23.56837703513,0.3012090874921,1.27802218643707,0.2356837703513,0.003012090874921
506,23.78244173346,0.3034864246255,1.27609447350614,0.2378244173346,0.003034864246255
507,23.99513830122,0.3056747235799,1.27390273705719,0.2399513830122,0.003056747235799
508,24.20743576617,0.3081568988277,1.27298447387951,0.2420743576617,0.003081568988277
509,24.42082585385,0.3105083743871,1.27149006444492,0.2442082585385,0.003105083743871
510,24.63351451442,0.3125192812575,1.26867516640615,0.2463351451442,0.003125192812575
511,24.84714434645,0.315023294978,1.26784507139151,0.2484714434645,0.00315023294978
512,25.06270687613,0.3170839102033,1.26516226587358,0.2506270687613,0.003170839102033
513,25.28125247985,0.319155166599,1.26241833490401,0.2528125247985,0.00319155166599
514,25.50126111441,0.3219493140151,1.26248389274041,0.2550126111441,0.003219493140151
515,25.72161545929,0.3247778726656,1.26266514317357,0.2572161545929,0.003247778726656
516,25.93905727812,0.3269363638608,1.26040187334247,0.2593905727812,0.003269363638608
517,26.15641741817,0.3291975144212,1.25857264455689,0.2615641741817,0.003291975144212
518,26.37569456996,0.331676510205,1.25750815518904,0.2637569456996,0.00331676510205
519,26.59590480295,0.3337197156632,1.25477857638513,0.2659590480295,0.003337197156632
520,26.81493329225,0.3355427118456,1.25132778884286,0.2681493329225,0.003355427118456
521,27.0308565363,0.3373217968801,1.24791382924587,0.270308565363,0.003373217968801
522,27.24160240017,0.3388368662271,1.24382134813401,0.2724160240017,0.003388368662271
523,27.45094049299,0.3417412361458,1.24491631255063,0.2745094049299,0.003417412361458
524,27.66081682174,0.3446695912698,1.24605716993472,0.2766081682174,0.003446695912698
525,27.87071480095,0.3465377134214,1.24337576519418,0.2787071480095,0.003465377134214
526,28.08540589199,0.3480449508064,1.23923774555689,0.2808540589199,0.003480449508064
527,28.30691787608,0.3513067841681,1.24106335315638,0.2830691787608,0.003513067841681
528,28.53122526652,0.3549337222581,1.24401850583893,0.2853122526652,0.003549337222581
529,28.76008001098,0.3572670031959,1.24223229928256,0.2876008001098,0.003572670031959
530,28.99377774438,0.359557948019,1.2401210742146,0.2899377774438,0.00359557948019
531,29.22755447921,0.3620546744021,1.23874433168753,0.2922755447921,0.003620546744021
532,29.46218571443,0.3644819432564,1.23711779835087,0.2946218571443,0.003644819432564
533,29.69680505861,0.3664907339509,1.23410829288736,0.2969680505861,0.003664907339509
534,29.92909953618,0.3684411925511,1.2310467012404,0.2992909953618,0.003684411925511
535,30.15944515787,0.3707542474635,1.22931388665402,0.3015944515787,0.003707542474635
536,30.38842240769,0.3733297579057,1.22852628839076,0.3038842240769,0.003733297579057
537,30.62086655354,0.3758626864484,1.2274724028179,0.3062086655354,0.003758626864484
538,30.85233912432,0.3779921444997,1.22516527183425,0.3085233912432,0.003779921444997
539,31.0802652242,0.3800165680388,1.22269409639049,0.310802652242,0.003800165680388
540,31.29634768381,0.381999580387,1.22058837103415,0.3129634768381,0.00381999580387
