Wavelength (nm),Uc
350,0.0194762209037
351,0.01992958819636
352,0.0204031322997
353,0.02021750754151
354,0.01906293452284
355,0.01833121927254
356,0.0183129998505
357,0.01870825341681
358,0.01926789400453
359,0.01898820865137
360,0.01821168957921
361,0.01710051266717
362,0.01636331021004
363,0.01650967704923
364,0.01693075503398
365,0.01773838794103
366,0.01782262763884
367,0.01771724372211
368,0.01688955497052
369,0.0167034771685
370,0.01686883780679
371,0.01728918545546
372,0.01771038716574
373,0.01754287746777
374,0.01633338176413
375,0.01632748202148
376,0.01688590613833
377,0.01649385900652
378,0.01633375597112
379,0.01674999032436
380,0.01689691013724
381,0.01733772780539
382,0.01738621012627
383,0.01612290624072
384,0.01626720538436
385,0.01642897306573
386,0.01634034692879
387,0.01578576581791
388,0.0154159109611
389,0.01523938666776
390,0.01558561345965
391,0.01541275911192
392,0.01515618025921
393,0.01564321255988
394,0.01553604222584
395,0.01523991904363
396,0.01511272791575
397,0.01498592559078
398,0.01517936654212
399,0.01527696307011
400,0.0152792091689
401,0.01567679753825
402,0.01519165502406
403,0.0149065925325
404,0.01498227940448
405,0.01490219237971
406,0.0148802035689
407,0.0152620024318
408,0.01440510588853
409,0.01418824752549
410,0.01423021021841
411,0.014115784637
412,0.01423683255916
413,0.01414136154445
414,0.01404200883909
415,0.01406673466939
416,0.01378825176674
417,0.01391567820322
418,0.01391812237039
419,0.01372339523692
420,0.01379023795563
421,0.01377618512622
422,0.01379564890401
423,0.01364657385934
424,0.01362415359805
425,0.0136238112756
426,0.01356522184885
427,0.01351187697355
428,0.01349837196698
429,0.01343303383538
430,0.01345614671787
431,0.01345625013797
432,0.0133704177306
433,0.0133755926383
434,0.01340417251459
435,0.01326702354117
436,0.01499370069213
437,0.01491087049041
438,0.01477610616719
439,0.01471056199716
440,0.01463138641725
441,0.01458077630373
442,0.01460306603073
443,0.01446923505652
444,0.01433577467963
445,0.01438896373055
446,0.0144113049683
447,0.01434622612109
448,0.01422122606635
449,0.01419990694894
450,0.01424017889173
451,0.01410466253123
452,0.01401385767474
453,0.01403772435745
454,0.01403661489348
455,0.01393917438289
456,0.01380846516759
457,0.01383251346434
458,0.01381165671187
459,0.01370501218167
460,0.01367296460346
461,0.01367321732715
462,0.01362485617225
463,0.01370087317998
464,0.01374656174584
465,0.0137122964057
466,0.01367493536138
467,0.01364278047107
468,0.01361179881342
469,0.01360038668604
470,0.01353671287444
471,0.01346740632593
472,0.01345176455094
473,0.01345491669038
474,0.0134337794832
475,0.01342160388898
476,0.01338769659597
477,0.01336871854046
478,0.01336375436571
479,0.01331113943903
480,0.01325489947655
481,0.01322876862305
482,0.01321932859069
483,0.01322262417932
484,0.01320255983401
485,0.01313698583722
486,0.0130824324834
487,0.01314880424125
488,0.01316251477063
489,0.01308597106418
490,0.01304577598806
491,0.01304357798859
492,0.01303877202034
493,0.01299956712654
494,0.01297309579477
495,0.01297053459398
496,0.01294561548627
497,0.01290808160864
498,0.01288171387812
499,0.01290049986792
500,0.01289439719154
501,0.01284658729585
502,0.0128189104985
503,0.01280557728767
504,0.01279065351343
505,0.01278022186437
506,0.01276094473506
507,0.01273902737057
508,0.0127298447388
509,0.01271490064445
510,0.01268675166406
511,0.01267845071392
512,0.01265162265874
513,0.01262418334904
514,0.0126248389274
515,0.01262665143173
516,0.01260401873342
517,0.01258572644557
518,0.01257508155189
519,0.01254778576385
520,0.01251327788843
521,0.01247913829246
522,0.01243821348134
523,0.0124491631255
524,0.01246057169935
525,0.01243375765194
526,0.01239237745557
527,0.01241063353156
528,0.01244018505839
529,0.01242232299282
530,0.01240121074215
531,0.01238744331687
532,0.01237117798351
533,0.01234108292887
534,0.01231046701241
535,0.01229313886654
536,0.01228526288391
537,0.01227472402818
538,0.01225165271834
539,0.01222694096391
540,0.01220588371034
541,0.01220524294322
542,0.01219363613592
543,0.01215722937535
544,0.01212291314484
545,0.01214472383593
546,0.01215014380581
547,0.01224114123583
548,0.01221134216532
549,0.01219561817664
550,0.0121942763285
551,0.01220543771964
552,0.01218413418219
553,0.01213626240893
554,0.01211885824263
555,0.01211892888973
556,0.01212335801078
557,0.01162916759171
558,0.01161853772537
559,0.0116179714307
560,0.01160935145066
561,0.0116031436087
562,0.01160391731999
563,0.01159678598144
564,0.01158952356843
565,0.01158532488267
566,0.01158057332709
567,0.01157977726102
568,0.01157945712702
569,0.01157169275541
570,0.01156495490775
571,0.01156070004843
572,0.01155412198287
573,0.0115479404256
574,0.01154772635883
575,0.01153673869061
576,0.01153271739939
577,0.01152918290723
578,0.0115234583516
579,0.01152479801935
580,0.01152451116284
581,0.0115125308164
582,0.0115142145031
583,0.01150698364527
584,0.01150203684776
585,0.01150313228868
586,0.01150853199389
587,0.01165587675588
588,0.01165261856015
589,0.01164265440702
590,0.01162788642916
591,0.01163125991363
592,0.01163010320472
593,0.01161475077051
594,0.01161345294074
595,0.01160658126996
596,0.01159504234525
597,0.01158540666352
598,0.01158959306477
599,0.01158771692077
600,0.01158076485014
601,0.01157539861691
602,0.01157241473049
603,0.01157126700496
604,0.01155367471138
605,0.01153808448008
606,0.01153386547624
607,0.01152019252512
608,0.01150953491571
609,0.01150838287122
610,0.01150557974574
611,0.01149871588419
612,0.01149062113855
613,0.01147969107652
614,0.01146784054421
615,0.0114612096179
616,0.01145619233447
617,0.01144636745324
618,0.01143419642234
619,0.0114229173866
620,0.01142660609601
621,0.01143280931331
622,0.01142517868778
623,0.0114161486914
624,0.01140227177679
625,0.01138667313097
626,0.01137966659716
627,0.01138345695237
628,0.0113749462991
629,0.01136627791798
630,0.01135355114468
631,0.01134534989621
632,0.01133954746665
633,0.01133491839429
634,0.01132420675914
635,0.01132772625396
636,0.01132324396373
637,0.0113083747276
638,0.01130505313713
639,0.01130399711627
640,0.01129441821628
641,0.01128897544984
642,0.01127987908009
643,0.01127365383425
644,0.01126716618284
645,0.01126598150428
646,0.01125282118362
647,0.01123274835511
648,0.01122684573834
649,0.0112234713231
650,0.01122178704617
651,0.01121497258404
652,0.0112164714444
653,0.01121643072537
654,0.01119849010663
655,0.01119747805799
656,0.011215228962
657,0.01120350464042
658,0.01120031099725
659,0.01119184084384
660,0.0111781523158
661,0.01117302668027
662,0.01117759042992
663,0.01117236827297
664,0.01117193372398
665,0.01116591447962
666,0.01115849789628
667,0.01115836135701
668,0.01116001011659
669,0.01115216044064
670,0.0111474079742
671,0.01114062479114
672,0.01113538108903
673,0.01113375363576
674,0.01113650312599
675,0.01113247589317
676,0.01112785524878
677,0.01111898427383
678,0.01111733997354
679,0.01112101418536
680,0.01112424577177
681,0.01111817554745
682,0.01111628656629
683,0.0111165159223
684,0.0111123098226
685,0.01110907304657
686,0.01110535072921
687,0.01110829761411
688,0.01110837671431
689,0.01109316749339
690,0.01108693576996
691,0.01109591965418
692,0.01108900321131
693,0.01108589471501
694,0.01108796445638
695,0.01108183697449
696,0.01108230502832
697,0.01108039052829
698,0.01106900533292
699,0.01107017840762
700,0.01106659008774
701,0.01106162130609
702,0.01106867257075
703,0.0110672876676
704,0.01105607451669
705,0.01105022225152
706,0.01104839784477
707,0.01104489315337
708,0.01104026210198
709,0.01104156163755
710,0.01103742431462
711,0.01103149302699
712,0.01102290800987
713,0.01102207374289
714,0.01103013261479
715,0.01102217422257
